POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	195
1	2	-	197
2	3	+	195
3	4	+	195
4	5	-	195
5	6	+	195
6	7	+	195
7	8	-	195
8	9	+	195
9	10	+	197
10	11	-	195
11	12	+	195
12	13	+	195
13	14	+	213
14	15	-	213
15	16	-	195
16	17	-	207
17	18	-	207
18	19	+	195
19	20	+	195
20	21	+	195
21	22	+	195
22	23	+	195
23	24	-	195
24	25	+	195
25	26	-	195
26	27	+	197
27	28	-	203
28	29	+	195
29	30	-	195
30	31	+	195
31	727	-	197
32	32	+	189
33	33	+	189
34	34	-	195
35	35	+	195
36	36	-	199
37	37	-	197
38	38	-	207
39	38	-	209
40	974	+	197
41	975	-	197
42	39	+	195
43	40	-	195
44	41	+	195
45	42	-	195
46	43	+	195
47	44	+	195
48	45	-	195
49	46	-	195
50	47	+	191
51	48	+	195
52	49	+	195
53	50	+	195
54	51	-	195
55	52	+	195
56	53	+	195
57	54	-	189
58	55	+	189
59	56	-	197
60	57	-	199
61	530	-	223
62	58	+	197
63	59	-	197
64	60	-	197
65	61	+	199
66	62	+	195
67	63	+	195
68	64	-	221
69	65	+	195
70	66	-	191
71	67	+	191
72	68	+	191
73	69	+	191
74	70	-	195
75	71	+	195
76	74	-	195
77	76	-	175
78	77	-	195
79	78	+	195
80	79	+	195
81	80	+	195
82	81	-	189
83	82	+	189
84	83	-	177
85	84	+	205
86	85	+	213
87	86	-	207
88	87	+	195
89	88	+	195
90	89	-	195
91	90	-	195
92	91	+	195
93	92	+	205
94	93	+	205
95	94	+	115
96	95	-	195
97	96	-	197
98	97	+	195
99	98	-	195
100	100	+	195
101	101	+	215
102	102	-	197
103	103	-	199
104	104	+	197
105	64	-	223
106	105	+	195
107	106	+	195
108	107	+	195
109	108	-	195
110	109	+	195
111	110	-	195
112	111	+	115
113	112	-	195
114	113	+	195
115	114	+	195
116	115	+	195
117	116	-	195
118	117	+	195
119	118	-	195
120	119	+	221
121	120	-	195
122	121	+	197
123	122	+	205
124	123	+	201
125	124	-	205
126	125	-	205
127	126	+	193
128	127	-	193
129	128	-	193
130	129	-	195
131	130	-	171
132	131	+	195
133	132	+	195
134	133	-	195
135	134	-	195
136	135	-	195
137	136	-	191
138	137	+	191
139	138	-	195
140	139	-	195
141	140	+	199
142	141	+	199
143	142	+	199
144	143	-	195
145	144	-	221
146	145	+	221
147	146	+	221
148	147	-	195
149	148	-	195
150	149	+	195
151	150	-	209
152	151	+	195
153	152	-	195
154	153	-	195
155	154	+	195
156	155	-	193
157	156	-	189
158	157	-	193
159	158	+	197
160	159	-	197
161	160	-	197
162	161	+	195
163	162	+	197
164	163	-	197
165	164	-	197
166	165	+	195
167	166	+	195
168	167	-	195
169	168	-	189
170	169	+	195
171	170	+	195
172	171	-	195
173	172	+	195
174	174	+	205
175	173	-	195
176	175	+	197
177	176	-	195
178	177	+	195
179	178	-	197
180	179	+	195
181	180	+	195
182	181	-	195
183	182	-	195
184	183	+	195
185	184	+	197
186	185	+	195
187	186	-	199
188	187	+	195
189	188	+	195
190	189	-	195
191	190	-	195
192	191	+	195
193	192	-	195
194	193	-	195
195	194	+	195
196	195	+	199
197	196	-	195
198	197	+	195
199	198	-	195
200	199	+	191
201	1004	+	109
202	200	-	191
203	201	-	193
204	202	-	219
205	203	+	191
206	204	-	195
207	205	+	195
208	206	+	197
209	207	+	199
210	208	-	185
211	209	-	181
212	210	-	181
213	211	+	181
214	212	+	195
215	213	+	195
216	214	-	195
217	215	-	195
218	216	-	195
219	217	-	195
220	218	+	195
221	219	-	195
222	220	+	195
223	221	+	195
224	224	-	195
225	223	+	195
226	222	-	195
227	225	+	199
228	226	-	197
229	227	-	199
230	228	+	199
231	229	-	195
232	230	-	195
233	231	-	195
234	232	+	195
235	233	-	195
236	234	-	195
237	235	-	191
238	236	-	191
239	237	+	191
240	238	-	191
241	239	+	191
242	240	-	195
243	241	-	195
244	242	+	195
245	243	-	197
246	244	-	199
247	245	-	199
248	246	-	199
249	247	-	197
250	248	+	217
251	249	-	217
252	248	+	219
253	249	-	219
254	250	-	195
255	251	-	195
256	252	+	195
257	253	+	193
258	254	-	193
259	255	-	195
260	256	-	195
