POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	136	-	237
1	3	+	239
2	2	+	299
3	19	-	241
4	20	-	247
5	1110	-	175
6	21	-	485
7	21	-	487
8	22	-	185
9	24	+	239
10	25	-	251
11	28	+	237
12	30	+	289
13	32	-	235
14	33	+	187
15	35	+	245
16	1465	-	87
17	36	+	653
18	1131	-	181
19	36	+	655
20	36	+	657
21	2461	+	27
22	1378	-	119
23	40	+	239
24	39	+	225
25	120	-	253
26	41	-	230
27	41	-	231
28	42	-	237
29	44	+	181
30	45	-	213
31	60	-	349
32	60	-	351
33	2229	+	29
34	3956	+	1
35	1487	+	103
36	55	+	189
37	50	-	235
38	1295	+	149
39	489	+	249
40	658	+	185
41	488	-	225
42	487	+	205
43	484	+	237
44	64	-	307
45	64	-	309
46	67	+	127
47	2023	+	33
48	2040	+	33
49	69	+	223
50	1230	+	121
51	71	-	277
52	71	-	279
53	85	-	235
54	84	-	286
55	82	-	243
56	81	-	273
57	80	-	264
58	79	-	237
59	501	+	287
60	3230	-	9
61	411	+	225
62	501	+	289
63	500	-	245
64	499	-	203
65	497	+	219
66	493	+	235
67	562	+	407
68	78	-	280
69	76	+	161
70	73	-	243
71	72	+	235
72	1144	+	181
73	3903	-	2
74	3903	-	3
75	105	+	221
76	106	-	297
77	106	-	299
78	108	+	297
79	149	-	237
80	4053	+	1
81	150	-	265
82	150	-	267
83	151	-	235
84	152	-	237
85	153	-	197
86	154	+	201
87	155	+	223
88	2492	-	33
89	1519	-	63
90	148	-	241
91	146	-	225
92	140	+	245
93	169	-	223
94	168	+	223
95	167	-	231
96	995	-	381
97	188	+	255
98	1692	+	70
99	162	+	327
100	161	+	235
101	214	+	217
102	160	-	249
103	159	+	213
104	157	+	261
105	156	-	205
106	88	+	215
107	496	+	229
108	495	+	253
109	104	+	265
110	103	+	225
111	102	+	277
112	1097	-	213
113	99	+	227
114	98	-	205
115	1179	+	167
116	93	-	187
117	2562	+	29
118	2166	-	29
119	181	+	225
120	1321	-	97
121	177	-	239
122	182	+	243
123	184	-	244
124	441	+	185
125	118	-	243
126	117	-	257
127	981	+	241
128	9	-	425
129	115	+	269
130	301	+	125
131	116	+	185
132	1103	-	335
133	1103	-	337
134	185	+	209
135	442	-	239
136	186	+	237
137	114	+	235
138	3270	+	5
139	111	-	257
140	110	-	175
141	3517	+	5
142	89	+	261
143	92	+	225
144	1178	-	313
145	391	+	223
146	3508	+	5
147	392	+	241
148	393	-	231
