POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	58	-	118
1	790	+	310
2	90	+	209
3	90	+	206
4	91	+	162
5	20	+	178
6	2927	-	1
7	1626	+	22
8	19	+	170
9	18	+	166
10	1832	-	20
11	760	-	98
12	428	-	204
13	429	+	140
14	433	-	166
15	434	-	168
16	436	-	178
17	17	-	176
18	14	+	168
19	1064	-	58
20	12	+	100
21	11	-	178
22	10	-	170
23	9	-	292
24	1479	-	30
25	53	+	182
26	52	+	146
27	50	+	170
28	49	-	166
29	48	+	168
30	2914	-	1
31	47	+	174
32	46	+	154
33	66	+	172
34	65	-	168
35	1824	-	26
36	55	-	130
37	59	-	168
38	61	+	193
39	63	-	142
40	64	-	210
41	9	+	294
42	1134	-	120
43	1457	-	36
44	8	+	166
45	1822	+	22
46	7	-	166
47	584	-	162
48	1451	-	40
49	1750	+	24
50	5	+	172
51	4	-	178
52	3	+	164
53	2	+	210
54	2	+	212
55	1110	-	114
56	1348	-	50
57	1348	-	52
58	94	+	96
59	1022	+	118
60	271	-	170
61	1178	+	198
62	92	-	156
63	89	-	182
64	88	+	162
65	496	+	144
66	38	-	170
67	495	+	178
68	87	+	176
69	1144	-	116
70	85	-	166
71	84	-	172
72	83	+	106
73	82	-	172
74	81	-	206
75	81	-	240
76	81	-	241
77	80	-	146
78	79	-	168
79	139	+	130
80	173	+	188
81	174	-	154
82	175	-	148
83	419	-	174
84	415	-	174
85	468	-	168
86	1063	+	126
87	176	-	156
88	177	+	166
89	178	-	90
90	257	+	172
91	1190	-	118
92	258	+	166
93	179	-	172
94	182	+	172
95	183	-	180
96	442	+	170
97	3193	-	1
98	2586	+	6
99	443	-	170
100	445	-	158
101	1571	-	26
102	1103	+	222
103	1103	+	224
104	186	-	166
105	220	-	152
106	116	-	126
107	115	-	186
108	115	-	188
109	114	+	170
110	112	-	188
111	2590	-	6
112	2306	-	12
113	147	+	170
114	148	+	172
115	111	+	168
116	170	+	66
117	2493	-	6
118	168	+	170
119	27	+	78
120	25	+	178
121	24	-	166
122	21	+	342
123	21	+	344
124	97	+	108
125	2413	+	6
126	1179	-	110
127	99	-	154
128	1097	+	146
129	340	-	148
130	2942	+	1
131	337	-	172
132	335	-	160
133	37	+	136
134	39	-	162
135	1897	+	20
136	40	-	170
137	36	-	468
138	31	-	102
139	635	+	302
140	635	+	300
141	36	-	466
142	35	-	176
143	32	+	162
144	30	-	204
145	28	-	168
146	167	-	166
147	1948	+	16
148	157	+	178
149	1743	+	22
150	1438	-	58
151	101	-	114
152	102	-	208
153	103	-	168
154	534	-	190
155	104	-	186
156	105	+	170
157	108	+	198
158	109	-	128
159	149	-	178
160	73	-	168
161	1436	-	38
162	145	+	180
163	144	-	204
164	1184	+	138
165	2070	+	16
166	141	-	168
167	171	+	204
168	172	+	176
169	390	-	160
170	391	+	144
171	1871	-	20
172	1261	+	79
173	1688	+	22
174	392	+	170
175	393	-	154
176	394	+	166
177	1596	-	32
178	395	+	166
179	132	+	152
180	426	+	176
181	1568	+	24
182	131	-	132
183	124	-	154
184	123	+	201
185	122	-	172
186	3092	-	1
187	127	-	154
188	165	-	168
189	165	-	169
190	119	+	156
191	120	-	166
192	163	+	298
193	239	+	172
194	1414	+	36
195	163	+	300
196	334	+	166
197	2037	+	16
198	72	+	164
199	71	+	206
200	70	+	126
201	68	+	174
202	42	+	166
203	41	+	130
204	1283	+	48
205	192	-	170
206	60	+	311
207	62	-	164
208	62	+	162
209	1027	-	80
210	191	+	170
211	190	+	170
212	189	-	194
213	1447	+	38
214	193	+	98
215	194	-	120
216	195	-	162
217	196	-	164
218	197	+	132
219	198	+	180
220	199	+	205
221	201	-	160
222	512	+	184
223	957	+	136
224	202	+	158
225	203	+	174
226	211	+	176
227	213	-	154
228	214	+	168
229	214	+	169
230	215	+	168
231	217	+	166
232	721	-	148
233	218	-	144
234	219	+	164
235	309	+	250
236	310	+	182
237	311	-	158
238	708	-	170
239	2752	-	6
240	707	-	174
241	241	+	136
242	240	+	144
243	238	+	248
244	237	-	182
245	235	-	170
246	234	-	158
247	233	+	266
248	233	+	268
249	232	+	160
250	1177	+	108
251	231	-	166
252	230	+	166
253	229	-	180
254	228	+	176
255	226	-	170
256	225	-	166
257	224	+	164
258	223	-	170
259	221	-	212
260	308	+	75
261	307	-	172
262	1597	+	22
263	291	-	134
264	301	-	100
265	296	+	190
266	297	-	168
267	298	+	172
268	300	+	144
269	302	+	164
270	398	-	186
271	399	+	268
272	854	+	238
273	875	+	172
274	873	-	178
275	872	-	90
276	400	-	140
277	401	+	154
278	402	-	142
279	405	-	140
280	303	-	170
281	304	-	116
282	305	-	132
283	290	+	238
284	290	+	184
285	290	+	186
286	288	-	196
287	1982	+	16
288	284	+	126
