POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	2912	-	3
1	882	+	123
2	911	-	87
3	912	+	102
4	721	-	103
5	5588	+	1
6	181	-	51
7	2296	+	11
8	913	-	77
9	979	+	170
10	980	-	53
11	1501	+	22
12	1501	+	14
13	1501	+	15
14	979	-	101
15	1840	-	5
16	978	-	85
17	2614	-	5
18	1910	-	19
19	957	-	116
20	48	-	79
21	926	-	73
22	2491	+	9
23	81	-	290
24	80	+	130
25	1357	+	17
26	1346	+	21
27	885	-	59
28	3112	-	7
29	972	-	89
30	18	-	75
31	2915	+	5
32	30	+	61
33	997	-	77
34	262	+	68
35	261	+	99
36	265	+	69
37	1001	-	67
38	270	+	81
39	2408	+	7
40	991	-	51
41	218	+	79
42	2197	-	11
43	996	-	73
44	1263	-	17
45	3062	-	3
46	2747	-	5
47	1763	+	47
48	276	-	56
49	1705	+	21
50	1719	-	33
51	21	+	71
52	26	+	141
53	85	-	55
54	424	+	136
55	426	+	63
56	2232	-	7
57	427	-	61
58	5510	-	5
59	2918	-	3
60	1772	-	7
61	1080	+	73
62	834	+	69
63	977	-	131
64	2975	-	7
65	977	-	130
66	1785	+	29
67	108	-	35
68	107	+	65
69	428	-	67
70	1855	+	5
71	2290	+	5
72	88	-	104
73	960	-	83
74	975	+	103
75	389	-	100
76	974	+	119
77	1724	+	30
78	1724	+	24
79	1724	+	25
80	264	-	65
81	642	-	61
82	870	-	59
83	798	-	94
84	869	-	95
85	211	+	75
86	2691	-	5
87	770	+	79
88	3992	-	1
89	987	-	75
90	987	-	73
91	936	+	69
92	1254	+	33
93	1239	-	57
94	1709	-	15
95	5081	+	1
96	915	+	81
97	1937	-	6
98	476	+	43
99	444	+	36
100	1808	+	11
101	3923	-	1
102	5064	+	2
103	915	+	83
104	914	-	41
105	1012	-	73
106	1012	-	132
107	5645	+	1
108	420	+	101
109	420	+	103
110	1044	+	32
111	331	+	81
112	331	+	83
113	1228	+	52
114	1228	+	53
115	6	+	87
116	983	+	79
117	494	+	58
118	849	+	49
119	326	+	207
120	3948	-	2
121	1985	+	5
122	2180	-	5
123	3352	-	14
124	1042	-	62
125	1042	-	63
126	4101	+	1
127	475	+	69
