POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	534	-	146
1	2549	+	2
2	173	+	142
3	174	-	120
4	1555	-	24
5	3700	-	1
6	3	-	124
7	2731	-	1
8	1629	-	20
9	1134	+	84
10	9	+	216
11	2736	+	1
12	9	+	234
13	10	+	128
14	11	+	146
15	13	+	118
16	19	-	168
17	1110	-	82
18	858	-	214
19	858	-	216
20	857	+	132
21	876	+	132
22	878	-	347
23	3420	+	1
24	880	+	130
25	881	-	116
26	168	+	130
27	78	+	128
28	495	-	134
29	496	-	343
30	88	-	122
31	89	+	136
32	148	-	251
33	1022	-	94
34	651	-	170
35	652	+	126
36	653	+	118
37	605	-	130
38	1440	-	34
39	161	-	128
40	162	-	176
41	1692	-	20
42	162	-	174
43	167	+	126
44	76	+	98
45	73	-	128
46	679	-	143
47	80	+	112
48	82	-	288
49	81	-	148
50	84	+	130
51	36	-	433
52	1131	+	84
53	36	-	360
54	36	-	362
55	1465	+	36
56	35	-	132
57	33	-	102
58	32	+	122
59	30	-	156
60	28	-	128
61	25	+	134
62	1373	+	36
63	24	-	126
64	21	+	254
65	1230	-	50
66	69	-	126
67	68	+	134
68	3115	+	1
69	67	-	80
70	2047	-	8
71	65	-	128
72	64	+	422
73	2839	-	1
74	51	-	124
75	53	-	277
76	1487	-	34
77	36	+	896
78	1378	-	44
79	60	+	178
80	45	+	375
81	42	+	126
82	41	+	96
83	38	-	128
84	39	-	132
85	551	-	206
86	549	-	128
87	548	+	106
88	71	+	148
89	439	+	126
90	440	+	110
91	21	+	252
92	3120	-	2
93	169	+	126
94	146	+	124
95	152	+	126
96	151	+	126
97	150	+	132
98	136	+	126
99	4981	-	1
100	5058	+	1
101	108	-	148
102	106	+	156
103	105	-	240
104	4684	-	1
105	104	+	347
106	103	+	126
107	102	+	197
108	1097	-	102
109	99	+	124
110	2695	+	1
111	1144	-	288
112	72	-	126
113	98	-	102
114	1179	+	86
115	93	-	100
116	114	-	130
117	116	+	94
118	848	-	104
119	847	-	96
120	2385	-	2
121	1103	+	164
122	1537	-	24
123	185	+	126
124	443	-	124
125	444	+	104
126	445	-	126
127	442	-	195
128	441	-	104
129	184	+	132
130	2095	+	6
131	183	+	142
132	182	-	130
133	181	+	126
134	179	+	134
135	1321	-	42
136	142	-	140
137	141	-	128
138	171	+	158
139	2765	+	1
140	832	+	108
141	177	+	126
142	1184	-	96
143	144	+	146
144	393	+	124
145	392	-	128
146	391	-	108
147	390	+	122
148	145	+	136
149	394	+	126
150	2525	-	1
151	1519	+	24
152	155	-	126
153	395	+	126
154	5007	+	1
155	132	+	116
156	219	-	124
157	3860	-	1
158	1019	+	96
159	362	-	126
160	309	-	194
161	313	+	126
162	218	+	110
163	1342	-	50
164	217	-	134
165	216	-	106
166	215	-	128
167	1093	+	70
168	598	-	136
169	684	-	198
170	120	+	136
171	214	-	124
172	213	+	120
173	211	-	132
174	210	+	114
175	204	+	102
176	203	-	132
177	201	+	268
178	201	+	269
179	200	+	94
180	199	-	130
181	198	-	138
182	1908	-	20
183	197	-	104
184	180	-	197
185	1592	+	116
186	314	-	128
187	315	+	124
188	316	+	184
189	317	+	126
190	318	-	293
191	195	+	132
192	192	-	249
193	191	+	316
194	190	+	126
195	1381	-	82
196	189	-	138
197	163	-	443
198	163	-	224
199	164	-	78
200	165	-	250
201	166	+	104
202	3948	-	2
203	3948	-	3
204	1485	-	82
205	348	+	132
206	768	+	132
207	463	+	120
208	765	+	134
209	762	-	96
210	761	+	122
211	756	-	152
212	806	-	140
213	805	-	312
214	805	-	313
215	50	+	128
216	49	-	126
217	48	+	128
218	347	+	218
219	347	+	419
220	708	-	130
221	1043	-	82
222	346	-	126
223	1351	-	128
224	345	+	128
225	380	-	196
226	379	+	116
227	376	-	302
228	376	-	148
229	892	+	190
230	892	+	191
231	374	+	122
232	335	-	130
233	334	+	304
234	333	-	226
235	370	+	227
236	370	+	170
237	371	-	140
238	868	+	112
239	372	-	102
240	1441	-	32
241	337	+	132
242	338	+	112
243	339	-	124
244	111	-	132
245	110	-	94
246	157	-	138
247	350	-	108
248	3616	+	1
249	351	+	132
250	354	+	128
251	356	+	150
252	369	-	138
253	3916	-	3
254	3916	-	2
255	1737	-	20
256	367	+	126
257	694	-	124
258	365	+	134
259	364	+	122
260	310	-	142
261	501	-	154
262	363	-	106
263	311	-	257
264	312	+	134
265	307	-	130
266	306	-	98
267	4936	+	1
268	383	+	140
269	4060	-	3
270	382	+	124
271	381	+	120
272	380	-	194
273	343	-	260
274	342	+	347
275	2815	-	7
276	3424	-	1
277	331	-	134
278	329	-	132
279	398	+	282
280	327	-	102
281	4735	+	1
282	325	-	263
283	288	+	154
284	290	-	128
285	324	-	130
286	2853	+	1
287	323	+	130
288	322	-	130
289	2928	+	1
290	321	+	108
291	320	+	130
292	385	-	86
293	4163	+	1
294	384	+	124
295	4202	-	1
296	384	+	122
297	303	+	130
298	405	+	106
299	402	+	104
300	400	+	114
301	399	-	200
302	399	-	198
303	292	-	130
304	293	-	126
305	272	+	164
306	275	+	100
307	1945	-	18
308	277	+	234
309	278	-	126
310	279	+	130
311	281	+	104
312	1035	+	108
313	951	-	124
314	1208	+	60
315	283	-	128
316	1303	+	132
317	1303	+	133
318	302	-	124
319	300	-	114
320	298	-	130
321	297	+	232
322	1885	+	76
323	1885	+	77
324	272	+	162
325	4761	-	1
326	294	+	128
327	623	+	131
328	1226	-	50
329	296	+	142
330	220	-	114
331	270	-	106
332	227	+	136
333	228	-	134
334	1177	-	74
335	233	-	206
336	1372	+	44
337	234	+	232
338	14	+	128
339	244	+	92
340	3006	-	1
341	246	-	269
342	247	+	190
343	248	-	132
344	251	+	128
345	1176	+	84
346	126	-	305
347	128	-	238
348	128	-	239
349	1544	+	24
350	223	+	130
351	224	-	237
352	225	+	286
353	226	+	128
354	269	-	158
355	1015	-	94
356	268	+	126
357	240	-	188
358	241	-	252
359	241	-	253
360	237	+	140
361	2502	+	2
362	2996	-	1
363	238	-	186
364	239	-	132
365	2006	-	8
366	263	-	134
367	1166	+	108
368	259	-	126
369	258	-	126
370	2141	-	6
371	125	-	124
372	124	-	146
373	123	+	216
374	2086	+	6
375	122	-	206
376	122	-	292
377	127	-	114
378	121	+	352
379	1493	+	33
380	119	-	124
381	187	+	132
382	1362	+	44
383	357	-	214
384	357	-	216
385	358	+	148
386	359	+	130
387	360	-	130
388	386	+	126
389	387	+	132
390	388	+	100
391	389	-	358
392	2471	-	4
393	423	-	198
394	423	-	199
395	426	+	134
396	427	+	122
397	431	-	110
398	1324	+	44
399	1285	-	76
400	1285	-	74
401	1285	-	72
402	434	+	278
403	433	+	299
404	414	+	124
405	1216	+	56
406	417	-	126
407	3898	+	1
408	419	+	128
409	420	-	136
410	1108	+	128
411	396	-	126
412	389	+	359
413	2471	+	5
414	438	-	132
415	3619	+	1
416	437	-	122
417	451	+	134
418	1087	-	88
419	454	-	148
420	232	-	210
421	1733	-	23
422	455	-	126
423	2066	+	8
424	889	+	133
425	889	+	117
426	888	-	200
427	888	-	201
428	887	+	126
429	1086	+	94
430	1063	+	273
431	2642	+	1
432	470	+	378
433	471	-	130
434	2380	-	2
435	472	+	128
436	1109	+	100
437	1198	+	72
438	467	-	255
439	1911	+	18
440	2127	+	6
441	467	-	176
442	464	+	148
443	2572	-	1
444	462	+	116
445	461	-	134
446	636	-	114
447	646	-	124
